Podcast_Id,HUMAN,T5,BART,PEGASUS
0ERGF0SNWOCUSjecWZGJ82,3.769230769,3.076923077,1.769230769,4.153846154
0g4S43qvuB4PnOIkxeybiY,3.615384615,3,3,2.538461538
0XuoICBTNepqsXLyYqRCLH,4.153846154,3.615384615,2.461538462,4
13ytaAuI0QxlSHc1JkOieu,3.769230769,3.692307692,3.384615385,2.461538462
2vwBdQNQaktMXYKTtwqK6R,3.846153846,4.230769231,2.461538462,3.461538462
2yE26ainUewuTJiHZAeQQL,2.538461538,3.769230769,2.538461538,1.153846154
3Du1ESxXKflc1S7QPEqQaT,3.692307692,2.923076923,1.153846154,1.230769231
3PQeaTjalnUrlwdvyTJiCf,4.076923077,2.692307692,3.538461538,1.307692308
3qBoc9iZ6JYVqIBTlkMga7,3.230769231,3.769230769,3.692307692,1.307692308
3rt0yCTZXrYcpFvuejcdoZ,3.923076923,3.846153846,3.153846154,3.076923077
